review,sentiment
Product is fine but service is slow,2
Very satisfied with the performance,1
Fantastic experience overall,1
Highly recommend this to everyone,1
Very satisfied with the performance,1
Good features but battery life is poor,2
Works as expected,2
Looks great but performance is average,2
Worth every rupee,1
Very disappointed with the product,0
Not worth the money at all,0
Looks great but performance is average,2
Highly recommend this to everyone,1
Delivery was late but product is good,2
Not worth the money at all,0
I absolutely loved this product,1
Highly recommend this to everyone,1
Not worth the money at all,0
Product is fine but service is slow,2
Quality is very poor,0
Completely useless item,0
Product stopped working in 2 days,0
Worth every rupee,1
Not worth the money at all,0
Average quality,2
Quality is nice but packaging was bad,2
Works as expected,2
Terrible customer service,0
Delivery was late but product is good,2
Fantastic experience overall,1
I absolutely loved this product,1
Worst purchase I have made,0
Quality is nice but packaging was bad,2
Looks great but performance is average,2
Highly recommend this to everyone,1
Decent for the price,2
Exceeded my expectations,1
I absolutely loved this product,1
"Product is okay, nothing special",2
Not bad but not great either,2
Highly recommend this to everyone,1
Fantastic experience overall,1
Completely useless item,0
Product is fine but service is slow,2
Looks great but performance is average,2
Completely useless item,0
Fantastic experience overall,1
I absolutely loved this product,1
Exceeded my expectations,1
Highly recommend this to everyone,1
Quality is nice but packaging was bad,2
Product is fine but service is slow,2
Worst purchase I have made,0
Completely useless item,0
Quality is nice but packaging was bad,2
I absolutely loved this product,1
Quality is nice but packaging was bad,2
Not bad but not great either,2
Delivery was late but product is good,2
Good features but battery life is poor,2
I absolutely loved this product,1
Amazing quality and fast delivery,1
Looks great but performance is average,2
Exceeded my expectations,1
Product is fine but service is slow,2
Exceeded my expectations,1
Product is fine but service is slow,2
Not bad but not great either,2
Works as expected,2
Product is fine but service is slow,2
Terrible customer service,0
Highly recommend this to everyone,1
Worst purchase I have made,0
Not worth the money at all,0
Average quality,2
Delivery was late but product is good,2
Not bad but not great either,2
Exceeded my expectations,1
Worst purchase I have made,0
Completely useless item,0
Amazing quality and fast delivery,1
Average quality,2
Not bad but not great either,2
Good features but battery life is poor,2
Looks great but performance is average,2
Highly recommend this to everyone,1
Quality is nice but packaging was bad,2
Very disappointed with the product,0
Average quality,2
Average quality,2
Works as expected,2
Not bad but not great either,2
Average quality,2
Highly recommend this to everyone,1
I absolutely loved this product,1
Worst purchase I have made,0
Quality is nice but packaging was bad,2
Terrible customer service,0
Product stopped working in 2 days,0
Product stopped working in 2 days,0
Works as expected,2
Worst purchase I have made,0
Decent for the price,2
Works as expected,2
Average quality,2
Not worth the money at all,0
Terrible customer service,0
Quality is very poor,0
Delivery was late but product is good,2
Exceeded my expectations,1
Product is fine but service is slow,2
Worth every rupee,1
Amazing quality and fast delivery,1
Works as expected,2
Amazing quality and fast delivery,1
Amazing quality and fast delivery,1
I absolutely loved this product,1
Quality is very poor,0
Delivery was late but product is good,2
Fantastic experience overall,1
Amazing quality and fast delivery,1
Worth every rupee,1
Worth every rupee,1
Amazing quality and fast delivery,1
Product is fine but service is slow,2
Product is fine but service is slow,2
Terrible customer service,0
Worth every rupee,1
Average quality,2
Very disappointed with the product,0
Completely useless item,0
Quality is nice but packaging was bad,2
Average quality,2
Product is fine but service is slow,2
Product stopped working in 2 days,0
Fantastic experience overall,1
Average quality,2
Delivery was late but product is good,2
Product is fine but service is slow,2
"Product is okay, nothing special",2
Looks great but performance is average,2
Delivery was late but product is good,2
"Product is okay, nothing special",2
Very disappointed with the product,0
Product is fine but service is slow,2
Terrible customer service,0
Average quality,2
Works as expected,2
Not bad but not great either,2
Terrible customer service,0
Average quality,2
"Product is okay, nothing special",2
Good features but battery life is poor,2
Highly recommend this to everyone,1
Decent for the price,2
Good features but battery life is poor,2
Quality is nice but packaging was bad,2
Not worth the money at all,0
Quality is very poor,0
I absolutely loved this product,1
Product is fine but service is slow,2
Quality is nice but packaging was bad,2
Fantastic experience overall,1
Amazing quality and fast delivery,1
Works as expected,2
Worst purchase I have made,0
Delivery was late but product is good,2
Product stopped working in 2 days,0
Quality is nice but packaging was bad,2
I absolutely loved this product,1
Decent for the price,2
Product is fine but service is slow,2
Very disappointed with the product,0
Works as expected,2
Not bad but not great either,2
I absolutely loved this product,1
Completely useless item,0
Looks great but performance is average,2
Very satisfied with the performance,1
Quality is very poor,0
Decent for the price,2
Highly recommend this to everyone,1
Terrible customer service,0
Delivery was late but product is good,2
Delivery was late but product is good,2
Product is fine but service is slow,2
Quality is nice but packaging was bad,2
Looks great but performance is average,2
"Product is okay, nothing special",2
Decent for the price,2
Completely useless item,0
Not bad but not great either,2
Highly recommend this to everyone,1
Quality is very poor,0
"Product is okay, nothing special",2
Delivery was late but product is good,2
Worth every rupee,1
Completely useless item,0
Completely useless item,0
Fantastic experience overall,1
Works as expected,2
Product is fine but service is slow,2
Looks great but performance is average,2
Looks great but performance is average,2
Delivery was late but product is good,2
Decent for the price,2
Very disappointed with the product,0
Good features but battery life is poor,2
"Product is okay, nothing special",2
Worst purchase I have made,0
Very disappointed with the product,0
Highly recommend this to everyone,1
Very satisfied with the performance,1
Very satisfied with the performance,1
Highly recommend this to everyone,1
Product is fine but service is slow,2
"Product is okay, nothing special",2
Very disappointed with the product,0
Product is fine but service is slow,2
Works as expected,2
Worst purchase I have made,0
Not bad but not great either,2
Completely useless item,0
Product is fine but service is slow,2
Product stopped working in 2 days,0
Amazing quality and fast delivery,1
Amazing quality and fast delivery,1
Decent for the price,2
Not worth the money at all,0
Worst purchase I have made,0
Quality is nice but packaging was bad,2
Exceeded my expectations,1
Works as expected,2
Highly recommend this to everyone,1
Product is fine but service is slow,2
I absolutely loved this product,1
Highly recommend this to everyone,1
Quality is very poor,0
Looks great but performance is average,2
Exceeded my expectations,1
"Product is okay, nothing special",2
Worst purchase I have made,0
Terrible customer service,0
Highly recommend this to everyone,1
Worst purchase I have made,0
Terrible customer service,0
Delivery was late but product is good,2
Very satisfied with the performance,1
Decent for the price,2
Quality is nice but packaging was bad,2
Good features but battery life is poor,2
Not worth the money at all,0
Product is fine but service is slow,2
Terrible customer service,0
Delivery was late but product is good,2
Decent for the price,2
Very satisfied with the performance,1
Completely useless item,0
Decent for the price,2
Product is fine but service is slow,2
Looks great but performance is average,2
Quality is nice but packaging was bad,2
Completely useless item,0
Quality is very poor,0
Amazing quality and fast delivery,1
Highly recommend this to everyone,1
Highly recommend this to everyone,1
Terrible customer service,0
Quality is nice but packaging was bad,2
Fantastic experience overall,1
Worth every rupee,1
Terrible customer service,0
Good features but battery life is poor,2
Exceeded my expectations,1
"Product is okay, nothing special",2
Terrible customer service,0
Good features but battery life is poor,2
Quality is very poor,0
Fantastic experience overall,1
Very disappointed with the product,0
Delivery was late but product is good,2
Quality is very poor,0
I absolutely loved this product,1
Looks great but performance is average,2
Quality is nice but packaging was bad,2
Good features but battery life is poor,2
Amazing quality and fast delivery,1
Quality is nice but packaging was bad,2
Terrible customer service,0
Not bad but not great either,2
Decent for the price,2
Very disappointed with the product,0
Amazing quality and fast delivery,1
"Product is okay, nothing special",2
Product is fine but service is slow,2
Very disappointed with the product,0
Delivery was late but product is good,2
Product stopped working in 2 days,0
Delivery was late but product is good,2
Decent for the price,2
Fantastic experience overall,1
Works as expected,2
Average quality,2
Very disappointed with the product,0
Decent for the price,2
Worth every rupee,1
Exceeded my expectations,1
"Product is okay, nothing special",2
Exceeded my expectations,1
Highly recommend this to everyone,1
Terrible customer service,0
Terrible customer service,0
Works as expected,2
Works as expected,2
Highly recommend this to everyone,1
Not bad but not great either,2
Completely useless item,0
"Product is okay, nothing special",2
Average quality,2
Terrible customer service,0
Very satisfied with the performance,1
Delivery was late but product is good,2
I absolutely loved this product,1
"Product is okay, nothing special",2
Amazing quality and fast delivery,1
Not bad but not great either,2
I absolutely loved this product,1
Works as expected,2
Decent for the price,2
Decent for the price,2
Good features but battery life is poor,2
Works as expected,2
Average quality,2
Worth every rupee,1
Terrible customer service,0
Worst purchase I have made,0
Very disappointed with the product,0
Highly recommend this to everyone,1
"Product is okay, nothing special",2
Product stopped working in 2 days,0
Terrible customer service,0
I absolutely loved this product,1
Fantastic experience overall,1
Not bad but not great either,2
Good features but battery life is poor,2
Good features but battery life is poor,2
Very disappointed with the product,0
Not bad but not great either,2
Good features but battery life is poor,2
Very disappointed with the product,0
Works as expected,2
Fantastic experience overall,1
Works as expected,2
Not worth the money at all,0
Good features but battery life is poor,2
Product is fine but service is slow,2
Amazing quality and fast delivery,1
Average quality,2
Amazing quality and fast delivery,1
Quality is very poor,0
"Product is okay, nothing special",2
Product is fine but service is slow,2
Quality is nice but packaging was bad,2
Worst purchase I have made,0
Very disappointed with the product,0
Good features but battery life is poor,2
Worth every rupee,1
Quality is very poor,0
Exceeded my expectations,1
Amazing quality and fast delivery,1
Quality is nice but packaging was bad,2
Highly recommend this to everyone,1
Worth every rupee,1
Good features but battery life is poor,2
Highly recommend this to everyone,1
Looks great but performance is average,2
"Product is okay, nothing special",2
Not bad but not great either,2
Very satisfied with the performance,1
Amazing quality and fast delivery,1
Not worth the money at all,0
Product is fine but service is slow,2
Product is fine but service is slow,2
Exceeded my expectations,1
Average quality,2
Works as expected,2
"Product is okay, nothing special",2
Highly recommend this to everyone,1
Not bad but not great either,2
Works as expected,2
Looks great but performance is average,2
Not bad but not great either,2
Product stopped working in 2 days,0
Delivery was late but product is good,2
Terrible customer service,0
Average quality,2
Product is fine but service is slow,2
Not bad but not great either,2
Product stopped working in 2 days,0
Delivery was late but product is good,2
Highly recommend this to everyone,1
Decent for the price,2
Worst purchase I have made,0
Not worth the money at all,0
Not bad but not great either,2
Works as expected,2
I absolutely loved this product,1
Fantastic experience overall,1
Works as expected,2
Worth every rupee,1
Not bad but not great either,2
Average quality,2
Average quality,2
Average quality,2
Worth every rupee,1
Quality is nice but packaging was bad,2
"Product is okay, nothing special",2
Very satisfied with the performance,1
Works as expected,2
Worst purchase I have made,0
Good features but battery life is poor,2
Decent for the price,2
Quality is nice but packaging was bad,2
Product is fine but service is slow,2
Exceeded my expectations,1
Quality is nice but packaging was bad,2
Worth every rupee,1
Not worth the money at all,0
Average quality,2
Worst purchase I have made,0
Delivery was late but product is good,2
Delivery was late but product is good,2
Looks great but performance is average,2
Very disappointed with the product,0
"Product is okay, nothing special",2
Delivery was late but product is good,2
Quality is nice but packaging was bad,2
"Product is okay, nothing special",2
Worth every rupee,1
Good features but battery life is poor,2
Very disappointed with the product,0
Very disappointed with the product,0
Product is fine but service is slow,2
Good features but battery life is poor,2
Fantastic experience overall,1
Worth every rupee,1
Average quality,2
Exceeded my expectations,1
Product is fine but service is slow,2
Looks great but performance is average,2
Worth every rupee,1
Delivery was late but product is good,2
Works as expected,2
Delivery was late but product is good,2
Terrible customer service,0
Product is fine but service is slow,2
Quality is nice but packaging was bad,2
Worth every rupee,1
"Product is okay, nothing special",2
Quality is nice but packaging was bad,2
I absolutely loved this product,1
Delivery was late but product is good,2
Works as expected,2
Looks great but performance is average,2
Fantastic experience overall,1
Looks great but performance is average,2
Amazing quality and fast delivery,1
Quality is very poor,0
Exceeded my expectations,1
Terrible customer service,0
Not bad but not great either,2
Amazing quality and fast delivery,1
Not bad but not great either,2
Completely useless item,0
Quality is very poor,0
I absolutely loved this product,1
Worst purchase I have made,0
Decent for the price,2
Amazing quality and fast delivery,1
I absolutely loved this product,1
Terrible customer service,0
Delivery was late but product is good,2
Worst purchase I have made,0
Quality is very poor,0
Works as expected,2
Worst purchase I have made,0
"Product is okay, nothing special",2
Amazing quality and fast delivery,1
Exceeded my expectations,1
Decent for the price,2
Very disappointed with the product,0
Quality is nice but packaging was bad,2
Worth every rupee,1
Not bad but not great either,2
Delivery was late but product is good,2
Product is fine but service is slow,2
Quality is very poor,0
Not bad but not great either,2
Exceeded my expectations,1
Average quality,2
Quality is nice but packaging was bad,2
Amazing quality and fast delivery,1
Looks great but performance is average,2
Highly recommend this to everyone,1
I absolutely loved this product,1
Very satisfied with the performance,1
Not worth the money at all,0
Looks great but performance is average,2
"Product is okay, nothing special",2
Works as expected,2
Not bad but not great either,2
Product is fine but service is slow,2
Decent for the price,2
Exceeded my expectations,1
Delivery was late but product is good,2
Worth every rupee,1
Very disappointed with the product,0
Not bad but not great either,2
Exceeded my expectations,1
Worth every rupee,1
Product is fine but service is slow,2
Average quality,2
Completely useless item,0
Works as expected,2
Quality is very poor,0
I absolutely loved this product,1
Fantastic experience overall,1
Decent for the price,2
Terrible customer service,0
Quality is nice but packaging was bad,2
Exceeded my expectations,1
Quality is very poor,0
Quality is very poor,0
Amazing quality and fast delivery,1
Average quality,2
Decent for the price,2
Highly recommend this to everyone,1
Highly recommend this to everyone,1
Product is fine but service is slow,2
Fantastic experience overall,1
Product is fine but service is slow,2
Good features but battery life is poor,2
Good features but battery life is poor,2
Worst purchase I have made,0
Works as expected,2
Looks great but performance is average,2
Not bad but not great either,2
Decent for the price,2
Not worth the money at all,0
Completely useless item,0
Good features but battery life is poor,2
Worth every rupee,1
Looks great but performance is average,2
Good features but battery life is poor,2
Exceeded my expectations,1
Worst purchase I have made,0
Completely useless item,0
Average quality,2
Very disappointed with the product,0
Exceeded my expectations,1
Fantastic experience overall,1
Very satisfied with the performance,1
I absolutely loved this product,1
Product stopped working in 2 days,0
Not worth the money at all,0
Worth every rupee,1
I absolutely loved this product,1
Worst purchase I have made,0
Very disappointed with the product,0
Average quality,2
Product is fine but service is slow,2
Very disappointed with the product,0
Delivery was late but product is good,2
Exceeded my expectations,1
Not bad but not great either,2
Amazing quality and fast delivery,1
Product is fine but service is slow,2
Decent for the price,2
Delivery was late but product is good,2
Works as expected,2
Quality is very poor,0
Quality is nice but packaging was bad,2
Delivery was late but product is good,2
Looks great but performance is average,2
Decent for the price,2
Not worth the money at all,0
Decent for the price,2
Delivery was late but product is good,2
"Product is okay, nothing special",2
Delivery was late but product is good,2
Not worth the money at all,0
Average quality,2
Worst purchase I have made,0
"Product is okay, nothing special",2
Highly recommend this to everyone,1
Not bad but not great either,2
"Product is okay, nothing special",2
Amazing quality and fast delivery,1
Decent for the price,2
Worth every rupee,1
Amazing quality and fast delivery,1
Works as expected,2
Worst purchase I have made,0
Product stopped working in 2 days,0
Quality is very poor,0
Terrible customer service,0
Good features but battery life is poor,2
Quality is nice but packaging was bad,2
Worst purchase I have made,0
Completely useless item,0
Delivery was late but product is good,2
Looks great but performance is average,2
Works as expected,2
Decent for the price,2
Terrible customer service,0
Product is fine but service is slow,2
Works as expected,2
I absolutely loved this product,1
Quality is nice but packaging was bad,2
Not bad but not great either,2
Works as expected,2
Decent for the price,2
Average quality,2
Worth every rupee,1
Completely useless item,0
Highly recommend this to everyone,1
Worst purchase I have made,0
Exceeded my expectations,1
Worst purchase I have made,0
Delivery was late but product is good,2
Quality is nice but packaging was bad,2
Quality is nice but packaging was bad,2
Works as expected,2
Exceeded my expectations,1
Good features but battery life is poor,2
Works as expected,2
Very disappointed with the product,0
Looks great but performance is average,2
Not bad but not great either,2
"Product is okay, nothing special",2
Not bad but not great either,2
Not bad but not great either,2
Works as expected,2
Exceeded my expectations,1
I absolutely loved this product,1
Average quality,2
Not bad but not great either,2
Very disappointed with the product,0
Decent for the price,2
Terrible customer service,0
Decent for the price,2
Highly recommend this to everyone,1
Worst purchase I have made,0
Quality is nice but packaging was bad,2
Worst purchase I have made,0
Delivery was late but product is good,2
I absolutely loved this product,1
Worth every rupee,1
Completely useless item,0
Worst purchase I have made,0
Works as expected,2
Works as expected,2
Amazing quality and fast delivery,1
Completely useless item,0
Fantastic experience overall,1
Exceeded my expectations,1
Very disappointed with the product,0
Looks great but performance is average,2
Very disappointed with the product,0
"Product is okay, nothing special",2
Worst purchase I have made,0
Delivery was late but product is good,2
Fantastic experience overall,1
Works as expected,2
Product is fine but service is slow,2
Completely useless item,0
Very satisfied with the performance,1
Average quality,2
Average quality,2
Looks great but performance is average,2
Works as expected,2
Not worth the money at all,0
Delivery was late but product is good,2
Worth every rupee,1
Good features but battery life is poor,2
Product is fine but service is slow,2
Works as expected,2
Quality is very poor,0
Decent for the price,2
Exceeded my expectations,1
Average quality,2
Good features but battery life is poor,2
"Product is okay, nothing special",2
Very disappointed with the product,0
Works as expected,2
I absolutely loved this product,1
Decent for the price,2
Works as expected,2
"Product is okay, nothing special",2
Very satisfied with the performance,1
Delivery was late but product is good,2
Looks great but performance is average,2
Worst purchase I have made,0
Very satisfied with the performance,1
"Product is okay, nothing special",2
Average quality,2
Average quality,2
Completely useless item,0
Decent for the price,2
Good features but battery life is poor,2
Quality is very poor,0
Works as expected,2
Looks great but performance is average,2
Worst purchase I have made,0
Looks great but performance is average,2
Looks great but performance is average,2
Product is fine but service is slow,2
Not bad but not great either,2
Highly recommend this to everyone,1
Very disappointed with the product,0
Not worth the money at all,0
Not worth the money at all,0
Quality is very poor,0
Product stopped working in 2 days,0
Looks great but performance is average,2
Not worth the money at all,0
Completely useless item,0
Very satisfied with the performance,1
Terrible customer service,0
Terrible customer service,0
Average quality,2
Looks great but performance is average,2
Very satisfied with the performance,1
Completely useless item,0
Fantastic experience overall,1
Amazing quality and fast delivery,1
Not bad but not great either,2
"Product is okay, nothing special",2
"Product is okay, nothing special",2
Not worth the money at all,0
Terrible customer service,0
Average quality,2
"Product is okay, nothing special",2
Not worth the money at all,0
Worst purchase I have made,0
Very satisfied with the performance,1
Exceeded my expectations,1
Not worth the money at all,0
I absolutely loved this product,1
Completely useless item,0
Exceeded my expectations,1
Completely useless item,0
Worth every rupee,1
Highly recommend this to everyone,1
Very disappointed with the product,0
Not bad but not great either,2
Quality is nice but packaging was bad,2
Looks great but performance is average,2
Quality is nice but packaging was bad,2
Exceeded my expectations,1
Delivery was late but product is good,2
Not bad but not great either,2
Fantastic experience overall,1
Works as expected,2
Quality is nice but packaging was bad,2
Looks great but performance is average,2
I absolutely loved this product,1
Terrible customer service,0
Works as expected,2
Decent for the price,2
Good features but battery life is poor,2
Fantastic experience overall,1
Completely useless item,0
Product is fine but service is slow,2
Highly recommend this to everyone,1
Decent for the price,2
"Product is okay, nothing special",2
Looks great but performance is average,2
Worst purchase I have made,0
Looks great but performance is average,2
Good features but battery life is poor,2
Works as expected,2
Product is fine but service is slow,2
Not bad but not great either,2
Product is fine but service is slow,2
I absolutely loved this product,1
Highly recommend this to everyone,1
Average quality,2
Worth every rupee,1
"Product is okay, nothing special",2
Very satisfied with the performance,1
I absolutely loved this product,1
Good features but battery life is poor,2
Works as expected,2
Good features but battery life is poor,2
Terrible customer service,0
Quality is very poor,0
Completely useless item,0
Very satisfied with the performance,1
Product is fine but service is slow,2
Not worth the money at all,0
Fantastic experience overall,1
Not worth the money at all,0
Not worth the money at all,0
Quality is nice but packaging was bad,2
Product is fine but service is slow,2
Not worth the money at all,0
Decent for the price,2
Completely useless item,0
Good features but battery life is poor,2
Delivery was late but product is good,2
Terrible customer service,0
Decent for the price,2
I absolutely loved this product,1
Works as expected,2
Average quality,2
Decent for the price,2
Product is fine but service is slow,2
Not bad but not great either,2
Amazing quality and fast delivery,1
Quality is nice but packaging was bad,2
Quality is very poor,0
"Product is okay, nothing special",2
Not bad but not great either,2
Not worth the money at all,0
Worth every rupee,1
Decent for the price,2
Delivery was late but product is good,2
Quality is nice but packaging was bad,2
"Product is okay, nothing special",2
Very disappointed with the product,0
I absolutely loved this product,1
Delivery was late but product is good,2
Good features but battery life is poor,2
Good features but battery life is poor,2
Good features but battery life is poor,2
Terrible customer service,0
Fantastic experience overall,1
Average quality,2
Quality is very poor,0
Quality is nice but packaging was bad,2
I absolutely loved this product,1
Good features but battery life is poor,2
Decent for the price,2
Good features but battery life is poor,2
Works as expected,2
Decent for the price,2
Exceeded my expectations,1
I absolutely loved this product,1
Terrible customer service,0
Average quality,2
Product stopped working in 2 days,0
Decent for the price,2
Average quality,2
Not worth the money at all,0
Delivery was late but product is good,2
Highly recommend this to everyone,1
Completely useless item,0
Very disappointed with the product,0
Delivery was late but product is good,2
Not bad but not great either,2
Quality is very poor,0
I absolutely loved this product,1
"Product is okay, nothing special",2
"Product is okay, nothing special",2
Decent for the price,2
"Product is okay, nothing special",2
Decent for the price,2
Average quality,2
Highly recommend this to everyone,1
Works as expected,2
Decent for the price,2
Highly recommend this to everyone,1
Average quality,2
Very disappointed with the product,0
Looks great but performance is average,2
Highly recommend this to everyone,1
Worth every rupee,1
Average quality,2
Delivery was late but product is good,2
Decent for the price,2
Not worth the money at all,0
Works as expected,2
Quality is nice but packaging was bad,2
Highly recommend this to everyone,1
Very satisfied with the performance,1
Delivery was late but product is good,2
Not worth the money at all,0
Quality is nice but packaging was bad,2
Product is fine but service is slow,2
Highly recommend this to everyone,1
Terrible customer service,0
Not bad but not great either,2
Delivery was late but product is good,2
Good features but battery life is poor,2
Worth every rupee,1
Quality is nice but packaging was bad,2
Exceeded my expectations,1
Good features but battery life is poor,2
Quality is very poor,0
Highly recommend this to everyone,1
Fantastic experience overall,1
Exceeded my expectations,1
Fantastic experience overall,1
Works as expected,2
Completely useless item,0
Works as expected,2
Quality is very poor,0
Delivery was late but product is good,2
Good features but battery life is poor,2
Looks great but performance is average,2
Product is fine but service is slow,2
Product is fine but service is slow,2
"Product is okay, nothing special",2
Good features but battery life is poor,2
Average quality,2
Works as expected,2
Decent for the price,2
Amazing quality and fast delivery,1
Not bad but not great either,2
Worth every rupee,1
Fantastic experience overall,1
Product stopped working in 2 days,0
Exceeded my expectations,1
Very satisfied with the performance,1
Decent for the price,2
Exceeded my expectations,1
Works as expected,2
Worth every rupee,1
Worth every rupee,1
Looks great but performance is average,2
Very disappointed with the product,0
Works as expected,2
Terrible customer service,0
I absolutely loved this product,1
Looks great but performance is average,2
Worth every rupee,1
Delivery was late but product is good,2
Completely useless item,0
Quality is nice but packaging was bad,2
I absolutely loved this product,1
Fantastic experience overall,1
Works as expected,2
"Product is okay, nothing special",2
Worth every rupee,1
Terrible customer service,0
Decent for the price,2
Good features but battery life is poor,2
Worth every rupee,1
Worst purchase I have made,0
Product is fine but service is slow,2
Worst purchase I have made,0
Fantastic experience overall,1
Not worth the money at all,0
Product is fine but service is slow,2
I absolutely loved this product,1
Very disappointed with the product,0
Amazing quality and fast delivery,1
Highly recommend this to everyone,1
"Product is okay, nothing special",2
Product is fine but service is slow,2
Product is fine but service is slow,2
Quality is nice but packaging was bad,2
Fantastic experience overall,1
Very satisfied with the performance,1
Works as expected,2
Quality is nice but packaging was bad,2
Good features but battery life is poor,2
Quality is nice but packaging was bad,2
Product stopped working in 2 days,0
Quality is very poor,0
Not worth the money at all,0
Works as expected,2
Highly recommend this to everyone,1
Average quality,2
Quality is nice but packaging was bad,2
Very satisfied with the performance,1
Worst purchase I have made,0
I absolutely loved this product,1
Product is fine but service is slow,2
Looks great but performance is average,2
Fantastic experience overall,1
Highly recommend this to everyone,1
Quality is nice but packaging was bad,2
Looks great but performance is average,2
Works as expected,2
Amazing quality and fast delivery,1
Product stopped working in 2 days,0
Product stopped working in 2 days,0
Decent for the price,2
"Product is okay, nothing special",2
Average quality,2
Good features but battery life is poor,2
Quality is nice but packaging was bad,2
Quality is nice but packaging was bad,2
Fantastic experience overall,1
Highly recommend this to everyone,1
Terrible customer service,0
Worst purchase I have made,0
Product stopped working in 2 days,0
Very disappointed with the product,0
Very disappointed with the product,0
Very disappointed with the product,0
Looks great but performance is average,2
Worst purchase I have made,0
Quality is very poor,0
Product stopped working in 2 days,0
Worst purchase I have made,0
Quality is very poor,0
Fantastic experience overall,1
Highly recommend this to everyone,1
Quality is very poor,0
Quality is very poor,0
Terrible customer service,0
Average quality,2
Not bad but not great either,2
Looks great but performance is average,2
Not bad but not great either,2
Looks great but performance is average,2
Product is fine but service is slow,2
Amazing quality and fast delivery,1
Very satisfied with the performance,1
Not worth the money at all,0
I absolutely loved this product,1
Delivery was late but product is good,2
Worth every rupee,1
Average quality,2
Worst purchase I have made,0
Amazing quality and fast delivery,1
"Product is okay, nothing special",2
Terrible customer service,0
Product is fine but service is slow,2
Average quality,2
Average quality,2
Average quality,2
Quality is very poor,0
Terrible customer service,0
Looks great but performance is average,2
Delivery was late but product is good,2
Good features but battery life is poor,2
Fantastic experience overall,1
Product is fine but service is slow,2
Decent for the price,2
Good features but battery life is poor,2
Quality is nice but packaging was bad,2
Good features but battery life is poor,2
Average quality,2
Amazing quality and fast delivery,1
Works as expected,2
Quality is nice but packaging was bad,2
Quality is very poor,0
Fantastic experience overall,1
Highly recommend this to everyone,1
Completely useless item,0
Worst purchase I have made,0
Exceeded my expectations,1
Worst purchase I have made,0
Average quality,2
Works as expected,2
"Product is okay, nothing special",2
Highly recommend this to everyone,1
"Product is okay, nothing special",2
Product is fine but service is slow,2
"Product is okay, nothing special",2
Product is fine but service is slow,2
Product is fine but service is slow,2
Very satisfied with the performance,1
"Product is okay, nothing special",2
Worth every rupee,1
Very disappointed with the product,0
Amazing quality and fast delivery,1
Highly recommend this to everyone,1
Works as expected,2
Very disappointed with the product,0
Good features but battery life is poor,2
Decent for the price,2
Works as expected,2
Fantastic experience overall,1
Terrible customer service,0
Delivery was late but product is good,2
Not worth the money at all,0
Amazing quality and fast delivery,1
Terrible customer service,0
Looks great but performance is average,2
Worth every rupee,1
Very disappointed with the product,0
Not bad but not great either,2
I absolutely loved this product,1
Delivery was late but product is good,2
Looks great but performance is average,2
Quality is nice but packaging was bad,2
Average quality,2
Quality is very poor,0
Product is fine but service is slow,2
Product is fine but service is slow,2
Worst purchase I have made,0
Average quality,2
"Product is okay, nothing special",2
Good features but battery life is poor,2
I absolutely loved this product,1
Worth every rupee,1
"Product is okay, nothing special",2
Highly recommend this to everyone,1
I absolutely loved this product,1
I absolutely loved this product,1
Quality is nice but packaging was bad,2
Quality is nice but packaging was bad,2
Looks great but performance is average,2
Worth every rupee,1
Terrible customer service,0
Delivery was late but product is good,2
Worth every rupee,1
Worth every rupee,1
Not worth the money at all,0
Product stopped working in 2 days,0
"Product is okay, nothing special",2
Works as expected,2
Decent for the price,2
"Product is okay, nothing special",2
"Product is okay, nothing special",2
Works as expected,2
"Product is okay, nothing special",2
Works as expected,2
Average quality,2
Worst purchase I have made,0
Not bad but not great either,2
Decent for the price,2
Quality is nice but packaging was bad,2
Good features but battery life is poor,2
Product stopped working in 2 days,0
"Product is okay, nothing special",2
Worst purchase I have made,0
Works as expected,2
Works as expected,2
Looks great but performance is average,2
Product stopped working in 2 days,0
Looks great but performance is average,2
Product is fine but service is slow,2
Not bad but not great either,2
Quality is nice but packaging was bad,2
Highly recommend this to everyone,1
"Product is okay, nothing special",2
Exceeded my expectations,1
Worst purchase I have made,0
Very satisfied with the performance,1
Amazing quality and fast delivery,1
I absolutely loved this product,1
Not worth the money at all,0
Product stopped working in 2 days,0
Good features but battery life is poor,2
Works as expected,2
Fantastic experience overall,1
Quality is very poor,0
Exceeded my expectations,1
Amazing quality and fast delivery,1
Works as expected,2
Looks great but performance is average,2
Delivery was late but product is good,2
Works as expected,2
Product is fine but service is slow,2
Amazing quality and fast delivery,1
Completely useless item,0
Looks great but performance is average,2
Average quality,2
Works as expected,2
Average quality,2
Product stopped working in 2 days,0
Looks great but performance is average,2
Quality is nice but packaging was bad,2
Very disappointed with the product,0
Very disappointed with the product,0
Works as expected,2
Delivery was late but product is good,2
Terrible customer service,0
Amazing quality and fast delivery,1
Quality is nice but packaging was bad,2
"Product is okay, nothing special",2
Terrible customer service,0
Terrible customer service,0
Worth every rupee,1
"Product is okay, nothing special",2
Works as expected,2
"Product is okay, nothing special",2
Delivery was late but product is good,2
Not bad but not great either,2
Not bad but not great either,2
Average quality,2
Completely useless item,0
Very satisfied with the performance,1
Looks great but performance is average,2
Not worth the money at all,0
Looks great but performance is average,2
Product is fine but service is slow,2
Product is fine but service is slow,2
Highly recommend this to everyone,1
Works as expected,2
Decent for the price,2
Not worth the money at all,0
Worst purchase I have made,0
